============================================================
EC Certifiers Batch Extractor
============================================================
Total ECs: 1477
Done: 0, Remaining: 1477
[474/1477] EC0646: 1 certifiers ✓
[475/1477] EC0647: 41 certifiers ✓
[476/1477] EC0648: 7 certifiers ✓
[477/1477] EC0649: 1 certifiers ✓
[478/1477] EC0650: 2 certifiers ✓
[479/1477] EC0654: 0 certifiers ✓
[480/1477] EC0655.01: 1 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 228 min
[481/1477] EC0656: 1 certifiers ✓
[482/1477] EC0657: 9 certifiers ✓
[483/1477] EC0658: 1 certifiers ✓
[484/1477] EC0659: 3 certifiers ✓
[485/1477] EC0661: 2 certifiers ✓
[486/1477] EC0662: 0 certifiers ✓
[487/1477] EC0663: 9 certifiers ✓
[488/1477] EC0664: 8 certifiers ✓
[489/1477] EC0665: 14 certifiers ✓
[490/1477] EC0666: 1 certifiers ✓
[491/1477] EC0667: 3 certifiers ✓
[492/1477] EC0669: 22 certifiers ✓
[493/1477] EC0670: 3 certifiers ✓
[494/1477] EC0671: 5 certifiers ✓
[495/1477] EC0672: 1 certifiers ✓
[496/1477] EC0673: 2 certifiers ✓
[497/1477] EC0674: 14 certifiers ✓
[498/1477] EC0675: 5 certifiers ✓
[499/1477] EC0677: 6 certifiers ✓
[500/1477] EC0678: 16 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 224 min
[501/1477] EC0679: 37 certifiers ✓
[502/1477] EC0680: 63 certifiers ✓
[503/1477] EC0681: 0 certifiers ✓
[504/1477] EC0682.01: 6 certifiers ✓
[505/1477] EC0683: 0 certifiers ✓
[506/1477] EC0684: 4 certifiers ✓
[507/1477] EC0685: 6 certifiers ✓
[508/1477] EC0686: 0 certifiers ✓
[509/1477] EC0687: 0 certifiers ✓
[510/1477] EC0688: 3 certifiers ✓
[511/1477] EC0689: 20 certifiers ✓
[512/1477] EC0690: 0 certifiers ✓
[513/1477] EC0691: 0 certifiers ✓
[514/1477] EC0692: 0 certifiers ✓
[515/1477] EC0693: 0 certifiers ✓
[516/1477] EC0694: 0 certifiers ✓
[517/1477] EC0695: 0 certifiers ✓
[518/1477] EC0696: 0 certifiers ✓
[519/1477] EC0697: 0 certifiers ✓
[520/1477] EC0698: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 219 min
[521/1477] EC0699: 0 certifiers ✓
[522/1477] EC0700: 0 certifiers ✓
[523/1477] EC0701: 0 certifiers ✓
[524/1477] EC0702: 0 certifiers ✓
[525/1477] EC0703: 0 certifiers ✓
[526/1477] EC0704: 0 certifiers ✓
[527/1477] EC0705: 0 certifiers ✓
[528/1477] EC0706: 0 certifiers ✓
[529/1477] EC0707: 6 certifiers ✓
[530/1477] EC0708: 4 certifiers ✓
[531/1477] EC0709: 1 certifiers ✓
[532/1477] EC0711: 0 certifiers ✓
[533/1477] EC0712: 1 certifiers ✓
[534/1477] EC0713: 1 certifiers ✓
[535/1477] EC0714: 3 certifiers ✓
[536/1477] EC0715.01: 8 certifiers ✓
[537/1477] EC0716: 4 certifiers ✓
[538/1477] EC0717: 1 certifiers ✓
[539/1477] EC0718: 2 certifiers ✓
[540/1477] EC0719: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 214 min
[541/1477] EC0720: 1 certifiers ✓
[542/1477] EC0721: 5 certifiers ✓
[543/1477] EC0722: 7 certifiers ✓
[544/1477] EC0723: 3 certifiers ✓
[545/1477] EC0724: 3 certifiers ✓
[546/1477] EC0725: 1 certifiers ✓
[547/1477] EC0726: 0 certifiers ✓
[548/1477] EC0727: 6 certifiers ✓
[549/1477] EC0728: 0 certifiers ✓
[550/1477] EC0729: 22 certifiers ✓
[551/1477] EC0730: 0 certifiers ✓
[552/1477] EC0731: 3 certifiers ✓
[553/1477] EC0732: 1 certifiers ✓
[554/1477] EC0733: 3 certifiers ✓
[555/1477] EC0734: 3 certifiers ✓
[556/1477] EC0735: 3 certifiers ✓
[557/1477] EC0736: 0 certifiers ✓
[558/1477] EC0737: 1 certifiers ✓
[559/1477] EC0738: 3 certifiers ✓
[560/1477] EC0739: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 210 min
[561/1477] EC0740: 3 certifiers ✓
[562/1477] EC0741: 1 certifiers ✓
[563/1477] EC0742: 2 certifiers ✓
[564/1477] EC0743: 0 certifiers ✓
[565/1477] EC0744: 3 certifiers ✓
[566/1477] EC0745: 1 certifiers ✓
[567/1477] EC0746: 1 certifiers ✓
[568/1477] EC0747: 6 certifiers ✓
[569/1477] EC0748: 1 certifiers ✓
[570/1477] EC0749: 6 certifiers ✓
[571/1477] EC0750: 1 certifiers ✓
[572/1477] EC0751: 2 certifiers ✓
[573/1477] EC0752: 3 certifiers ✓
[574/1477] EC0753: 1 certifiers ✓
[575/1477] EC0754: 6 certifiers ✓
[576/1477] EC0755: 5 certifiers ✓
[577/1477] EC0757: 1 certifiers ✓
[578/1477] EC0758: 1 certifiers ✓
[579/1477] EC0759: 0 certifiers ✓
[580/1477] EC0760: 1 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 205 min
[581/1477] EC0761: 2 certifiers ✓
[582/1477] EC0762: 1 certifiers ✓
[583/1477] EC0763: 2 certifiers ✓
[584/1477] EC0764: 0 certifiers ✓
[585/1477] EC0765: 15 certifiers ✓
[586/1477] EC0766: 0 certifiers ✓
[587/1477] EC0767.01: 2 certifiers ✓
